Series ID,Year,Period,Label,Value
LAUMT261146000000003,2005,M01,2005 Jan,4.5
LAUMT261146000000003,2005,M02,2005 Feb,4.6
LAUMT261146000000003,2005,M03,2005 Mar,4.5
LAUMT261146000000003,2005,M04,2005 Apr,4.3
LAUMT261146000000003,2005,M05,2005 May,4.7
LAUMT261146000000003,2005,M06,2005 Jun,4.8
LAUMT261146000000003,2005,M07,2005 Jul,5.0
LAUMT261146000000003,2005,M08,2005 Aug,4.3
LAUMT261146000000003,2005,M09,2005 Sep,4.5
LAUMT261146000000003,2005,M10,2005 Oct,3.9
LAUMT261146000000003,2005,M11,2005 Nov,4.2
LAUMT261146000000003,2005,M12,2005 Dec,4.2
LAUMT261146000000003,2006,M01,2006 Jan,4.6
LAUMT261146000000003,2006,M02,2006 Feb,4.8
LAUMT261146000000003,2006,M03,2006 Mar,4.8
LAUMT261146000000003,2006,M04,2006 Apr,4.5
LAUMT261146000000003,2006,M05,2006 May,5.0
LAUMT261146000000003,2006,M06,2006 Jun,5.3
LAUMT261146000000003,2006,M07,2006 Jul,5.6
LAUMT261146000000003,2006,M08,2006 Aug,5.0
LAUMT261146000000003,2006,M09,2006 Sep,4.8
LAUMT261146000000003,2006,M10,2006 Oct,4.4
LAUMT261146000000003,2006,M11,2006 Nov,4.3
LAUMT261146000000003,2006,M12,2006 Dec,4.5
LAUMT261146000000003,2007,M01,2007 Jan,5.0
LAUMT261146000000003,2007,M02,2007 Feb,4.7
LAUMT261146000000003,2007,M03,2007 Mar,4.6
LAUMT261146000000003,2007,M04,2007 Apr,4.4
LAUMT261146000000003,2007,M05,2007 May,4.8
LAUMT261146000000003,2007,M06,2007 Jun,5.3
LAUMT261146000000003,2007,M07,2007 Jul,5.8
LAUMT261146000000003,2007,M08,2007 Aug,5.1
LAUMT261146000000003,2007,M09,2007 Sep,5.0
LAUMT261146000000003,2007,M10,2007 Oct,4.6
LAUMT261146000000003,2007,M11,2007 Nov,4.5
LAUMT261146000000003,2007,M12,2007 Dec,4.9
LAUMT261146000000003,2008,M01,2008 Jan,4.9
LAUMT261146000000003,2008,M02,2008 Feb,4.7
LAUMT261146000000003,2008,M03,2008 Mar,4.9
LAUMT261146000000003,2008,M04,2008 Apr,4.7
LAUMT261146000000003,2008,M05,2008 May,5.9
LAUMT261146000000003,2008,M06,2008 Jun,6.3
LAUMT261146000000003,2008,M07,2008 Jul,6.9
LAUMT261146000000003,2008,M08,2008 Aug,6.2
LAUMT261146000000003,2008,M09,2008 Sep,5.9
LAUMT261146000000003,2008,M10,2008 Oct,5.6
LAUMT261146000000003,2008,M11,2008 Nov,5.4
LAUMT261146000000003,2008,M12,2008 Dec,6.1
LAUMT261146000000003,2009,M01,2009 Jan,6.8
LAUMT261146000000003,2009,M02,2009 Feb,7.6
LAUMT261146000000003,2009,M03,2009 Mar,7.9
LAUMT261146000000003,2009,M04,2009 Apr,7.9
LAUMT261146000000003,2009,M05,2009 May,9.2
LAUMT261146000000003,2009,M06,2009 Jun,10.5
LAUMT261146000000003,2009,M07,2009 Jul,10.4
LAUMT261146000000003,2009,M08,2009 Aug,9.2
LAUMT261146000000003,2009,M09,2009 Sep,8.9
LAUMT261146000000003,2009,M10,2009 Oct,8.6
LAUMT261146000000003,2009,M11,2009 Nov,8.1
LAUMT261146000000003,2009,M12,2009 Dec,8.3
LAUMT261146000000003,2010,M01,2010 Jan,8.7
LAUMT261146000000003,2010,M02,2010 Feb,8.5
LAUMT261146000000003,2010,M03,2010 Mar,8.7
LAUMT261146000000003,2010,M04,2010 Apr,8.1
LAUMT261146000000003,2010,M05,2010 May,8.4
LAUMT261146000000003,2010,M06,2010 Jun,8.9
LAUMT261146000000003,2010,M07,2010 Jul,9.5
LAUMT261146000000003,2010,M08,2010 Aug,8.3
LAUMT261146000000003,2010,M09,2010 Sep,7.6
LAUMT261146000000003,2010,M10,2010 Oct,7.1
LAUMT261146000000003,2010,M11,2010 Nov,6.8
LAUMT261146000000003,2010,M12,2010 Dec,6.6
LAUMT261146000000003,2011,M01,2011 Jan,7.0
LAUMT261146000000003,2011,M02,2011 Feb,6.7
LAUMT261146000000003,2011,M03,2011 Mar,7.0
LAUMT261146000000003,2011,M04,2011 Apr,6.4
LAUMT261146000000003,2011,M05,2011 May,7.1
LAUMT261146000000003,2011,M06,2011 Jun,8.0
LAUMT261146000000003,2011,M07,2011 Jul,8.4
LAUMT261146000000003,2011,M08,2011 Aug,7.3
LAUMT261146000000003,2011,M09,2011 Sep,6.8
LAUMT261146000000003,2011,M10,2011 Oct,6.2
LAUMT261146000000003,2011,M11,2011 Nov,5.5
LAUMT261146000000003,2011,M12,2011 Dec,5.6
LAUMT261146000000003,2012,M01,2012 Jan,5.9
LAUMT261146000000003,2012,M02,2012 Feb,5.9
LAUMT261146000000003,2012,M03,2012 Mar,6.0
LAUMT261146000000003,2012,M04,2012 Apr,5.4
LAUMT261146000000003,2012,M05,2012 May,6.3
LAUMT261146000000003,2012,M06,2012 Jun,7.0
LAUMT261146000000003,2012,M07,2012 Jul,7.7
LAUMT261146000000003,2012,M08,2012 Aug,6.3
LAUMT261146000000003,2012,M09,2012 Sep,5.5
LAUMT261146000000003,2012,M10,2012 Oct,5.3
LAUMT261146000000003,2012,M11,2012 Nov,4.9
LAUMT261146000000003,2012,M12,2012 Dec,5.4
LAUMT261146000000003,2013,M01,2013 Jan,6.0
LAUMT261146000000003,2013,M02,2013 Feb,5.6
LAUMT261146000000003,2013,M03,2013 Mar,5.6
LAUMT261146000000003,2013,M04,2013 Apr,5.1
LAUMT261146000000003,2013,M05,2013 May,6.2
LAUMT261146000000003,2013,M06,2013 Jun,7.0
LAUMT261146000000003,2013,M07,2013 Jul,7.5
LAUMT261146000000003,2013,M08,2013 Aug,6.2
LAUMT261146000000003,2013,M09,2013 Sep,5.6
LAUMT261146000000003,2013,M10,2013 Oct,5.6
LAUMT261146000000003,2013,M11,2013 Nov,5.0
LAUMT261146000000003,2013,M12,2013 Dec,4.8
LAUMT261146000000003,2014,M01,2014 Jan,5.1
LAUMT261146000000003,2014,M02,2014 Feb,5.2
LAUMT261146000000003,2014,M03,2014 Mar,5.2
LAUMT261146000000003,2014,M04,2014 Apr,4.6
LAUMT261146000000003,2014,M05,2014 May,5.4
LAUMT261146000000003,2014,M06,2014 Jun,5.5
LAUMT261146000000003,2014,M07,2014 Jul,6.3
LAUMT261146000000003,2014,M08,2014 Aug,5.0
LAUMT261146000000003,2014,M09,2014 Sep,4.6
LAUMT261146000000003,2014,M10,2014 Oct,4.2
LAUMT261146000000003,2014,M11,2014 Nov,3.8
LAUMT261146000000003,2014,M12,2014 Dec,3.5
LAUMT261146000000003,2015,M01,2015 Jan,4.1
LAUMT261146000000003,2015,M02,2015 Feb,3.6
LAUMT261146000000003,2015,M03,2015 Mar,3.6
LAUMT261146000000003,2015,M04,2015 Apr,3.3
LAUMT261146000000003,2015,M05,2015 May,4.2
LAUMT261146000000003,2015,M06,2015 Jun,4.2
LAUMT261146000000003,2015,M07,2015 Jul,4.7
LAUMT261146000000003,2015,M08,2015 Aug,3.4
LAUMT261146000000003,2015,M09,2015 Sep,3.1
LAUMT261146000000003,2015,M10,2015 Oct,3.0
LAUMT261146000000003,2015,M11,2015 Nov,2.7
LAUMT261146000000003,2015,M12,2015 Dec,2.5
LAUMT261146000000003,2016,M01,2016 Jan,2.9
LAUMT261146000000003,2016,M02,2016 Feb,2.9
LAUMT261146000000003,2016,M03,2016 Mar,3.0
LAUMT261146000000003,2016,M04,2016 Apr,2.7
LAUMT261146000000003,2016,M05,2016 May,3.2
LAUMT261146000000003,2016,M06,2016 Jun,3.5
LAUMT261146000000003,2016,M07,2016 Jul,4.1
LAUMT261146000000003,2016,M08,2016 Aug,3.5
LAUMT261146000000003,2016,M09,2016 Sep,3.1
LAUMT261146000000003,2016,M10,2016 Oct,3.5
LAUMT261146000000003,2016,M11,2016 Nov,3.0
LAUMT261146000000003,2016,M12,2016 Dec,2.6
